Time,UAV_Plan_X,UAV_Plan_Y,UAV_Plan_Z,UAV_Plan_VX,UAV_Plan_VY,UAV_Plan_VZ
0,0.921153,19.1889,1.12625,0.138024,1.67153,-0.632761
0.05,0.928051,19.2719,1.09598,0.137954,1.64844,-0.577831
0.1,0.934954,19.3538,1.06848,0.138171,1.62481,-0.52232
0.15,0.941873,19.4344,1.04375,0.138632,1.60068,-0.466561
0.2,0.94882,19.5138,1.02182,0.139293,1.57613,-0.410872
0.25,0.955805,19.592,1.00266,0.140118,1.5512,-0.35555
0.3,0.962834,19.669,0.986252,0.141067,1.52597,-0.300879
0.35,0.969913,19.7446,0.972556,0.142105,1.50049,-0.247125
0.4,0.977045,19.819,0.96152,0.143201,1.47482,-0.194538
0.45,0.984233,19.8921,0.953079,0.144321,1.44902,-0.143349
0.5,0.991477,19.9639,0.947158,0.145439,1.42316,-0.0937756
0.55,0.998777,20.0344,0.943672,0.146526,1.39728,-0.0460162
0.6,1.00613,20.1036,0.942524,0.147558,1.37145,-0.000253644
0.65,1.01353,20.1716,0.94361,0.148512,1.34573,0.0433464
0.7,1.02098,20.2382,0.94682,0.149369,1.32017,0.0846349
0.75,1.02847,20.3036,0.952033,0.150109,1.29484,0.123479
0.8,1.03599,20.3677,0.959125,0.150717,1.26979,0.159764
0.85,1.04354,20.4306,0.967965,0.151178,1.24508,0.193391
0.9,1.0511,20.4922,0.978418,0.151481,1.22077,0.224276
0.95,1.05868,20.5527,0.990346,0.151615,1.19692,0.252355
1,1.06626,20.6119,1.00361,0.151572,1.17358,0.277579
1.05,1.07383,20.67,1.01806,0.151347,1.15081,0.299916
1.1,1.08139,20.727,1.03355,0.150937,1.12867,0.31935
1.15,1.08893,20.7829,1.04994,0.150339,1.10721,0.335883
1.2,1.09642,20.8377,1.06709,0.149555,1.08649,0.349533
1.25,1.10388,20.8916,1.08485,0.148588,1.06657,0.360334
1.3,1.11128,20.9444,1.10308,0.147441,1.0475,0.368339
1.35,1.11862,20.9963,1.12164,0.146123,1.02934,0.373614
1.4,1.12589,21.0474,1.14039,0.144641,1.01215,0.376246
1.45,1.13308,21.0976,1.15922,0.143009,0.995971,0.376335
1.5,1.14019,21.147,1.17799,0.141238,0.98087,0.374
1.55,1.1472,21.1957,1.19658,0.139344,0.9669,0.369376
1.6,1.15412,21.2437,1.21489,0.137344,0.954114,0.362616
1.65,1.16094,21.2911,1.23281,0.13526,0.942568,0.353886
1.7,1.16764,21.338,1.25025,0.133111,0.932316,0.343373
1.75,1.17425,21.3843,1.26712,0.130922,0.923409,0.331274
1.8,1.18074,21.4303,1.28335,0.128714,0.915887,0.317786
1.85,1.18712,21.476,1.29888,0.126508,0.909777,0.303101
1.9,1.19339,21.5213,1.31365,0.124325,0.905091,0.287406
1.95,1.19955,21.5665,1.32761,0.12218,0.901827,0.270883
2,1.20561,21.6115,1.34072,0.120091,0.899968,0.253708
2.05,1.21156,21.6565,1.35297,0.118072,0.899484,0.236053
2.1,1.21742,21.7015,1.36432,0.116135,0.900332,0.218084
2.15,1.22318,21.7466,1.37477,0.114293,0.902451,0.199963
2.2,1.22885,21.7918,1.38432,0.112555,0.905771,0.181845
2.25,1.23443,21.8372,1.39296,0.110929,0.910204,0.163882
2.3,1.23994,21.8828,1.40071,0.109422,0.915649,0.146219
2.35,1.24538,21.9287,1.40759,0.108039,0.921992,0.128998
2.4,1.25075,21.975,1.41362,0.106784,0.929103,0.112353
2.45,1.25606,22.0217,1.41884,0.105658,0.93684,0.0964158
2.5,1.26132,22.0687,1.42328,0.104662,0.945044,0.0813115
2.55,1.26653,22.1162,1.42698,0.103795,0.953546,0.0671603
2.6,1.2717,22.1641,1.43001,0.103054,0.962159,0.0540774
2.65,1.27683,22.2124,1.43241,0.102435,0.970684,0.0421728
2.7,1.28194,22.2611,1.43425,0.101931,0.978907,0.0315514
2.75,1.28703,22.3103,1.43559,0.101536,0.986601,0.0223131
2.8,1.2921,22.3598,1.43651,0.101241,0.993523,0.0145525
2.85,1.29715,22.4096,1.43707,0.101034,0.999418,0.00835922
2.9,1.3022,22.4597,1.43737,0.100904,1.00401,0.00381762
2.95,1.30725,22.51,1.43748,0.100836,1.00703,0.00100704
3,1.31229,22.5604,1.4375,0.100817,1.00817,1.67672e-06
